#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
5.000000e-01  6.945864e-04  4.580965e-10  0.000000e+00  0.000000e+00  0.000000e+00
5.150000e-01  9.199181e-02  8.781144e-03  0.000000e+00  0.000000e+00  0.000000e+00
5.300000e-01  1.248252e-01  2.265161e-02  0.000000e+00  0.000000e+00  1.647443e-02
5.450000e-01  1.469948e-01  2.386616e-02  4.701000e-03  5.290086e-02  9.740893e-02
5.600000e-01  1.570899e-01  2.970248e-02  1.052812e-02  7.248197e-02  1.958281e-01
5.750000e-01  1.652662e-01  3.076049e-02  8.573452e-03  5.369879e-02  3.753372e-01
5.900000e-01  1.719114e-01  3.131166e-02  5.986403e-03  3.475280e-02  5.731080e-01
6.050000e-01  1.763990e-01  3.225429e-02  4.602910e-03  2.513259e-02  7.475271e-01
6.200000e-01  1.798143e-01  3.273107e-02  3.845792e-03  1.999122e-02  9.298726e-01
6.350000e-01  1.823518e-01  3.311287e-02  3.415605e-03  1.699405e-02  1.134948e+00
6.500000e-01  1.817665e-01  3.357770e-02  2.923355e-03  1.463535e-02  1.490081e+00
6.650000e-01  1.806221e-01  3.182594e-02  2.287972e-03  1.235659e-02  2.185931e+00
6.800000e-01  1.825271e-01  3.018606e-02  1.863753e-03  1.021058e-02  3.255098e+00
6.950000e-01  1.872831e-01  3.050901e-02  1.423051e-03  8.292069e-03  4.860733e+00
7.100000e-01  1.947194e-01  3.383924e-02  1.037332e-03  6.803618e-03  6.808445e+00
7.250000e-01  1.982991e-01  3.468614e-02  8.054179e-04  5.762956e-03  8.918531e+00
7.400000e-01  1.993502e-01  3.559208e-02  2.050811e-02  1.051360e-01  1.184029e+01
7.550000e-01  2.007743e-01  3.520375e-02  2.279038e-02  1.133164e-01  1.464421e+01
7.700000e-01  2.030162e-01  3.417050e-02  2.311494e-02  1.133307e-01  1.652082e+01
7.850000e-01  2.050245e-01  3.415442e-02  2.467163e-02  1.160606e-01  1.863611e+01
8.000000e-01  2.060270e-01  3.512795e-02  3.091910e-02  1.266759e-01  2.187679e+01
8.150000e-01  2.060196e-01  3.571965e-02  3.682923e-02  1.372665e-01  2.570065e+01
8.300000e-01  2.052080e-01  3.622781e-02  5.172067e-02  1.570510e-01  3.011455e+01
8.450000e-01  2.049868e-01  3.572331e-02  5.451788e-02  1.613652e-01  3.505175e+01
8.600000e-01  2.050761e-01  3.499880e-02  5.175282e-02  1.571527e-01  3.876821e+01
8.750000e-01  2.048306e-01  3.433514e-02  4.913608e-02  1.528107e-01  4.420411e+01
8.900000e-01  2.055128e-01  3.350159e-02  5.306535e-02  1.532398e-01  4.897326e+01
9.050000e-01  2.068192e-01  3.290422e-02  5.691696e-02  1.579964e-01  5.285789e+01
9.200000e-01  2.084163e-01  3.257115e-02  5.955060e-02  1.597557e-01  5.707985e+01
9.350000e-01  2.097208e-01  3.246724e-02  6.396112e-02  1.624749e-01  6.169428e+01
9.500000e-01  2.104740e-01  3.246132e-02  7.729119e-02  1.724752e-01  6.685509e+01
9.650000e-01  2.116037e-01  3.245412e-02  8.527494e-02  1.798808e-01  7.154769e+01
9.800000e-01  2.128161e-01  3.241423e-02  8.524171e-02  1.790914e-01  7.583551e+01
9.950000e-01  2.141307e-01  3.244954e-02  1.021602e-01  1.920636e-01  7.972569e+01
1.010000e+00  2.159859e-01  3.262963e-02  1.102592e-01  2.005948e-01  8.330573e+01
1.025000e+00  2.176850e-01  3.297025e-02  1.077955e-01  1.979889e-01  8.756177e+01
1.040000e+00  2.189866e-01  3.318126e-02  1.073196e-01  1.950475e-01  9.139701e+01
1.055000e+00  2.202359e-01  3.305287e-02  1.084420e-01  1.943920e-01  9.465824e+01
1.070000e+00  2.216927e-01  3.294983e-02  1.099350e-01  1.931298e-01  9.748415e+01
1.085000e+00  2.231598e-01  3.303607e-02  1.092283e-01  1.917185e-01  1.016247e+02
1.100000e+00  2.243125e-01  3.311267e-02  1.140010e-01  1.911470e-01  1.050983e+02
1.115000e+00  2.252465e-01  3.314361e-02  1.221612e-01  1.957435e-01  1.090182e+02
1.130000e+00  2.261565e-01  3.312711e-02  1.268673e-01  1.995781e-01  1.135231e+02
1.145000e+00  2.271253e-01  3.304328e-02  1.270001e-01  1.993129e-01  1.168007e+02
1.160000e+00  2.280667e-01  3.302008e-02  1.262794e-01  1.978771e-01  1.202058e+02
1.175000e+00  2.289299e-01  3.309062e-02  1.326946e-01  1.994357e-01  1.238238e+02
1.190000e+00  2.298361e-01  3.314573e-02  1.395494e-01  2.036721e-01  1.267731e+02
1.205000e+00  2.307499e-01  3.317501e-02  1.458124e-01  2.051509e-01  1.296446e+02
1.220000e+00  2.315477e-01  3.320161e-02  1.481370e-01  2.068531e-01  1.323487e+02
1.235000e+00  2.321998e-01  3.328170e-02  1.506062e-01  2.083518e-01  1.352715e+02
1.250000e+00  2.326504e-01  3.335509e-02  1.544805e-01  2.094031e-01  1.385464e+02
1.265000e+00  2.331665e-01  3.340475e-02  1.586094e-01  2.109566e-01  1.412608e+02
1.280000e+00  2.337070e-01  3.336832e-02  1.600267e-01  2.114068e-01  1.441195e+02
1.295000e+00  2.340722e-01  3.322181e-02  1.629096e-01  2.121249e-01  1.472374e+02
1.310000e+00  2.343951e-01  3.315702e-02  1.687458e-01  2.138460e-01  1.506429e+02
1.325000e+00  2.346619e-01  3.301908e-02  1.781929e-01  2.175992e-01  1.536858e+02
1.340000e+00  2.348608e-01  3.280180e-02  1.848855e-01  2.218035e-01  1.563524e+02
1.355000e+00  2.351038e-01  3.262512e-02  1.888817e-01  2.214407e-01  1.587239e+02
1.370000e+00  2.352798e-01  3.254087e-02  1.952813e-01  2.221130e-01  1.615775e+02
1.385000e+00  2.353492e-01  3.238133e-02  2.001675e-01  2.238545e-01  1.642399e+02
1.400000e+00  2.353572e-01  3.215668e-02  2.005611e-01  2.241425e-01  1.668782e+02
1.415000e+00  2.353684e-01  3.200183e-02  2.011553e-01  2.222502e-01  1.695128e+02
1.430000e+00  2.353918e-01  3.187728e-02  2.033480e-01  2.221373e-01  1.721655e+02
1.445000e+00  2.353980e-01  3.173174e-02  2.045739e-01  2.213153e-01  1.745553e+02
1.460000e+00  2.354617e-01  3.163575e-02  2.045809e-01  2.200895e-01  1.769005e+02
1.475000e+00  2.355626e-01  3.155197e-02  2.044879e-01  2.194520e-01  1.793026e+02
1.490000e+00  2.356210e-01  3.142410e-02  2.061602e-01  2.189465e-01  1.817512e+02
1.505000e+00  2.356293e-01  3.128406e-02  2.099267e-01  2.196989e-01  1.842125e+02
1.520000e+00  2.355524e-01  3.114756e-02  2.119924e-01  2.197893e-01  1.864737e+02
1.535000e+00  2.353804e-01  3.102341e-02  2.137604e-01  2.193824e-01  1.888746e+02
1.550000e+00  2.351516e-01  3.085337e-02  2.153647e-01  2.192633e-01  1.910816e+02
1.565000e+00  2.349540e-01  3.070000e-02  2.158042e-01  2.180770e-01  1.934294e+02
1.580000e+00  2.347735e-01  3.054518e-02  2.172436e-01  2.172012e-01  1.959586e+02
1.595000e+00  2.344917e-01  3.034437e-02  2.210878e-01  2.176942e-01  1.982528e+02
1.610000e+00  2.341579e-01  3.018139e-02  2.239695e-01  2.184016e-01  2.005301e+02
1.625000e+00  2.338429e-01  3.000728e-02  2.248054e-01  2.176206e-01  2.029035e+02
1.640000e+00  2.335225e-01  2.979569e-02  2.260143e-01  2.164253e-01  2.052863e+02
1.655000e+00  2.332115e-01  2.958980e-02  2.259357e-01  2.156988e-01  2.076783e+02
1.670000e+00  2.328912e-01  2.936958e-02  2.275500e-01  2.152357e-01  2.100667e+02
1.685000e+00  2.325270e-01  2.915369e-02  2.293880e-01  2.162512e-01  2.124511e+02
1.700000e+00  2.321556e-01  2.897846e-02  2.290236e-01  2.151668e-01  2.148576e+02
1.715000e+00  2.317754e-01  2.883296e-02  2.290678e-01  2.144234e-01  2.171399e+02
1.730000e+00  2.313929e-01  2.869543e-02  2.301085e-01  2.144325e-01  2.194289e+02
1.745000e+00  2.310176e-01  2.851947e-02  2.335770e-01  2.135049e-01  2.215892e+02
1.760000e+00  2.306433e-01  2.835654e-02  2.373913e-01  2.131962e-01  2.237948e+02
1.775000e+00  2.302581e-01  2.821225e-02  2.430327e-01  2.122516e-01  2.260746e+02
1.790000e+00  2.298336e-01  2.801982e-02  2.479780e-01  2.125231e-01  2.281659e+02
1.805000e+00  2.294130e-01  2.780623e-02  2.498228e-01  2.115082e-01  2.304566e+02
1.820000e+00  2.289950e-01  2.762992e-02  2.503795e-01  2.108017e-01  2.327678e+02
1.835000e+00  2.285434e-01  2.746428e-02  2.533613e-01  2.108118e-01  2.350427e+02
1.850000e+00  2.280907e-01  2.728066e-02  2.579653e-01  2.116775e-01  2.372803e+02
1.865000e+00  2.276675e-01  2.711117e-02  2.601489e-01  2.117383e-01  2.396245e+02
1.880000e+00  2.272407e-01  2.696938e-02  2.609331e-01  2.114435e-01  2.420485e+02
1.895000e+00  2.268185e-01  2.683612e-02  2.605802e-01  2.110703e-01  2.446129e+02
1.910000e+00  2.264056e-01  2.669258e-02  2.594846e-01  2.102374e-01  2.470687e+02
