#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
5.000000e-01  6.945864e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.150000e-01  6.896618e-04  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.300000e-01  6.849253e-04  8.104616e-07  0.000000e+00  0.000000e+00  0.000000e+00
5.450000e-01  7.584157e-02  1.118642e-02  5.999984e-01  6.212042e-04  0.000000e+00
5.600000e-01  8.151516e-02  1.443474e-02  5.898159e-01  7.662396e-02  0.000000e+00
5.750000e-01  8.129732e-02  1.478455e-02  5.882286e-01  7.110067e-02  0.000000e+00
5.900000e-01  8.069295e-02  1.447913e-02  5.828814e-01  9.081166e-02  0.000000e+00
6.050000e-01  7.978751e-02  1.457554e-02  5.566550e-01  1.487751e-01  0.000000e+00
6.200000e-01  7.910192e-02  1.494469e-02  5.202090e-01  1.974511e-01  0.000000e+00
6.350000e-01  1.282189e-01  2.475584e-02  7.177366e-02  1.765736e-01  5.428012e-02
6.500000e-01  1.469948e-01  2.523472e-02  3.312745e-02  1.200224e-01  1.414314e-01
6.650000e-01  1.510810e-01  2.557042e-02  2.678948e-02  1.073565e-01  1.498629e-01
6.800000e-01  1.522875e-01  2.562354e-02  2.400966e-02  1.008756e-01  1.532432e-01
6.950000e-01  1.521281e-01  2.557099e-02  2.252129e-02  9.706422e-02  1.566236e-01
7.100000e-01  1.513102e-01  2.550625e-02  2.159688e-02  9.443853e-02  1.600040e-01
7.250000e-01  1.501629e-01  2.544997e-02  2.099372e-02  9.258493e-02  1.577504e-01
7.400000e-01  1.488217e-01  2.545587e-02  2.052795e-02  9.109674e-02  1.552637e-01
7.550000e-01  1.472848e-01  2.548768e-02  2.018778e-02  8.994557e-02  1.584109e-01
7.700000e-01  1.454912e-01  2.574263e-02  1.999805e-02  8.917488e-02  1.495909e-01
7.850000e-01  1.436629e-01  2.641631e-02  1.996913e-02  8.878796e-02  1.464048e-01
8.000000e-01  1.415120e-01  2.725754e-02  2.004810e-02  8.886323e-02  1.492023e-01
8.150000e-01  1.392430e-01  2.806657e-02  2.110367e-02  9.138437e-02  1.456666e-01
8.300000e-01  1.368240e-01  2.891210e-02  2.142579e-02  9.139817e-02  1.483475e-01
8.450000e-01  1.339359e-01  3.019630e-02  2.238852e-02  9.290992e-02  1.510285e-01
8.600000e-01  1.307871e-01  3.135450e-02  2.320520e-02  9.381936e-02  1.470265e-01
8.750000e-01  1.277615e-01  3.211090e-02  2.349668e-02  9.375870e-02  1.291921e-01
8.900000e-01  1.250692e-01  3.245305e-02  2.310160e-02  9.273320e-02  1.175746e-01
