#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
5.000000e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
5.150000e-01  -5.692074e-02  2.364654e-02  -5.692074e-02  2.364654e-02  -5.692074e-02  2.364654e-02  -5.448021e-02  1.976296e-02  -5.448021e-02  1.976296e-02  -5.448021e-02  1.976296e-02  1.048644e-01  -2.003869e-01  1.048644e-01  -2.003869e-01  1.048644e-01  -2.003869e-01
5.300000e-01  -1.210496e-03  5.612447e-04  -2.598668e-04  -1.126920e-03  -2.598219e-04  -1.127009e-03  -3.048381e-02  1.399305e-02  -3.012240e-02  1.307265e-02  -3.012132e-02  1.307302e-02  5.675150e-02  -1.137158e-01  5.799249e-02  -1.150629e-01  5.799280e-02  -1.150635e-01
5.450000e-01  4.005810e-03  6.730404e-05  3.507048e-03  1.473090e-03  3.507447e-03  1.475413e-03  1.079264e-02  -1.149936e-03  1.051287e-02  -3.786452e-04  1.044908e-02  -2.348061e-04  2.396222e-03  -9.849269e-02  1.905443e-03  -9.808643e-02  1.637237e-03  -9.776987e-02
5.600000e-01  1.730938e-03  5.517075e-05  9.897718e-04  6.228421e-04  1.005441e-03  6.341379e-04  1.143643e-02  -7.683440e-04  1.044004e-02  -4.564550e-04  1.045646e-02  -4.478374e-04  -4.808629e-03  -7.130275e-02  -5.056907e-03  -7.020328e-02  -5.215167e-03  -7.012760e-02
5.750000e-01  2.890772e-04  6.112429e-05  8.645291e-04  2.018672e-04  8.899271e-04  2.073689e-04  3.674047e-04  2.055707e-03  8.722769e-04  2.107791e-03  9.427049e-04  2.105003e-03  -4.208355e-03  -4.135491e-02  -3.873991e-03  -4.174953e-02  -3.966987e-03  -4.171158e-02
5.900000e-01  1.020403e-03  7.314116e-04  1.468070e-03  8.142177e-04  1.527993e-03  8.473361e-04  2.313572e-02  1.289066e-02  2.328294e-02  1.281529e-02  2.343662e-02  1.287970e-02  -4.988451e-03  -3.526114e-02  -5.021133e-03  -3.539542e-02  -5.060260e-03  -3.546286e-02
6.050000e-01  1.337165e-03  8.169711e-04  1.803608e-03  7.743330e-04  1.897596e-03  8.162000e-04  3.094102e-02  1.594263e-02  3.162812e-02  1.571280e-02  3.178113e-02  1.583111e-02  -7.391051e-03  -3.195967e-02  -7.762919e-03  -3.246311e-02  -7.731813e-03  -3.256235e-02
6.200000e-01  1.127977e-03  6.243747e-04  2.115352e-03  6.490548e-04  2.262824e-03  6.943794e-04  3.150780e-02  1.722354e-02  3.169402e-02  1.667094e-02  3.193493e-02  1.683195e-02  -4.279302e-03  -3.312626e-02  -3.817256e-03  -3.355135e-02  -3.822977e-03  -3.371763e-02
6.350000e-01  4.565881e-04  1.451802e-03  1.681361e-03  1.410868e-03  1.821404e-03  1.529521e-03  2.526350e-02  2.791368e-02  2.574518e-02  2.737601e-02  2.585661e-02  2.767466e-02  -1.275984e-02  -3.134732e-02  -1.235849e-02  -3.141611e-02  -1.238399e-02  -3.157327e-02
6.500000e-01  4.881152e-04  1.563603e-03  1.224471e-03  1.630534e-03  1.336479e-03  1.783294e-03  3.013943e-02  2.251870e-02  3.026152e-02  2.238135e-02  3.040225e-02  2.263369e-02  -9.942736e-03  -3.528285e-02  -1.032098e-02  -3.529656e-02  -1.030184e-02  -3.552938e-02
6.650000e-01  3.604622e-04  1.060333e-03  8.945026e-04  6.043602e-04  9.763106e-04  6.635055e-04  2.684627e-02  2.241708e-02  2.675662e-02  1.734271e-02  2.632916e-02  1.761551e-02  -1.305049e-02  -3.674251e-02  -1.132486e-02  -3.181976e-02  -1.100883e-02  -3.207602e-02
6.800000e-01  1.458754e-04  5.369564e-04  4.094795e-04  1.779197e-04  4.475183e-04  1.931931e-04  1.753653e-02  1.644717e-02  1.963574e-02  1.206974e-02  1.922768e-02  1.210479e-02  -1.366199e-02  -3.378572e-02  -1.378854e-02  -3.087076e-02  -1.337826e-02  -3.072394e-02
6.950000e-01  -1.957324e-05  2.761709e-04  1.921386e-04  5.440145e-05  2.108028e-04  5.758507e-05  1.018457e-02  1.132835e-02  1.036444e-02  8.091862e-03  1.014364e-02  8.069419e-03  -1.654222e-02  -2.741356e-02  -1.526869e-02  -2.520110e-02  -1.496531e-02  -2.509857e-02
7.100000e-01  2.718220e-04  7.714360e-05  4.438090e-04  -1.070770e-04  4.786607e-04  -1.132951e-04  2.214511e-02  7.568196e-03  2.183595e-02  5.316332e-03  2.185377e-02  5.318448e-03  -1.849987e-02  -6.995722e-03  -1.709125e-02  -5.900584e-03  -1.687344e-02  -5.671897e-03
7.250000e-01  2.414691e-04  -1.096989e-05  2.715320e-04  -1.350121e-04  2.951896e-04  -1.398378e-04  3.482266e-02  7.253692e-03  3.454654e-02  5.560177e-03  3.487977e-02  5.691996e-03  -1.978727e-04  -1.017929e-02  1.233158e-04  -9.029600e-03  4.436097e-04  -8.782683e-03
7.400000e-01  1.243704e-04  -9.688782e-05  1.082451e-04  -1.882560e-04  1.243469e-04  -1.964887e-04  2.805922e-02  4.076798e-03  2.816251e-02  2.985095e-03  2.850909e-02  3.096322e-03  2.101964e-02  -2.159551e-02  2.055807e-02  -2.035931e-02  2.095221e-02  -2.031824e-02
7.550000e-01  1.039193e-04  -2.352661e-04  5.586888e-05  -2.653824e-04  6.993137e-05  -2.770890e-04  2.249255e-02  -1.035243e-04  2.289856e-02  -8.023759e-04  2.319820e-02  -6.933491e-04  3.672891e-02  -2.627166e-02  3.633634e-02  -2.539078e-02  3.671930e-02  -2.551137e-02
7.700000e-01  -2.662664e-05  -2.165149e-04  -1.119210e-04  -1.872326e-04  -1.082160e-04  -1.930485e-04  1.734206e-02  -9.267458e-05  1.787497e-02  -5.763360e-04  1.815752e-02  -4.693031e-04  4.438810e-02  -2.763309e-02  4.366770e-02  -2.739290e-02  4.405858e-02  -2.761006e-02
7.850000e-01  -2.307745e-04  -7.065352e-05  -2.424136e-04  -5.108266e-05  -2.475948e-04  -4.581695e-05  7.166515e-03  6.042415e-03  7.825631e-03  5.626369e-03  7.985035e-03  5.783156e-03  5.044144e-02  -2.663036e-02  4.928468e-02  -2.679893e-02  4.972557e-02  -2.697216e-02
8.000000e-01  -4.073378e-04  3.075810e-05  -3.130714e-04  -7.828744e-05  -3.239407e-04  -7.466142e-05  -1.355325e-03  1.284392e-02  -3.800880e-04  1.163941e-02  -3.919865e-04  1.192022e-02  6.146059e-02  -2.921368e-02  6.050200e-02  -2.958283e-02  6.114175e-02  -2.974240e-02
8.150000e-01  -6.279807e-04  1.729037e-04  -4.438810e-04  -4.210626e-05  -4.674538e-04  -3.575629e-05  -8.241806e-03  1.715799e-02  -7.488651e-03  1.625269e-02  -7.642645e-03  1.661776e-02  6.319558e-02  -3.096237e-02  6.251404e-02  -3.136856e-02  6.322318e-02  -3.152585e-02
8.300000e-01  -8.195569e-04  3.297333e-04  -4.865585e-04  -7.327440e-06  -5.215299e-04  3.021638e-06  -1.935343e-02  2.182480e-02  -1.895592e-02  2.117508e-02  -1.936916e-02  2.166227e-02  6.082482e-02  -3.159699e-02  6.034391e-02  -3.186505e-02  6.105422e-02  -3.197972e-02
8.450000e-01  -9.215155e-04  5.042348e-04  -4.571660e-04  2.662298e-05  -5.052412e-04  4.227684e-05  -2.744560e-02  2.648108e-02  -2.733472e-02  2.607887e-02  -2.805040e-02  2.668015e-02  5.628195e-02  -2.982084e-02  5.607300e-02  -3.037440e-02  5.676932e-02  -3.049228e-02
8.600000e-01  -1.071511e-03  6.904058e-04  -4.675395e-04  3.774601e-05  -5.238513e-04  5.484974e-05  -2.936591e-02  3.038373e-02  -2.956431e-02  3.006563e-02  -3.038804e-02  3.074501e-02  5.119577e-02  -2.659898e-02  5.130301e-02  -2.741445e-02  5.199431e-02  -2.753297e-02
8.750000e-01  -1.095365e-03  1.013065e-03  -3.025091e-04  1.903998e-04  -3.464931e-04  2.172540e-04  -2.976437e-02  3.524918e-02  -3.002656e-02  3.506471e-02  -3.090242e-02  3.578799e-02  4.465523e-02  -2.439264e-02  4.500681e-02  -2.540514e-02  4.573663e-02  -2.556952e-02
8.900000e-01  -1.196284e-03  1.239353e-03  -3.069322e-04  1.892278e-04  -3.554827e-04  2.074431e-04  -3.019363e-02  3.852317e-02  -3.039094e-02  3.828507e-02  -3.130571e-02  3.896786e-02  3.965343e-02  -2.226679e-02  4.003015e-02  -2.338123e-02  4.084196e-02  -2.362931e-02
9.050000e-01  -1.139117e-03  1.335960e-03  -1.168289e-04  1.069094e-04  -1.471294e-04  1.122009e-04  -2.918252e-02  3.779484e-02  -2.941242e-02  3.748527e-02  -3.035467e-02  3.811167e-02  3.813582e-02  -1.977066e-02  3.850524e-02  -2.111652e-02  3.935147e-02  -2.143263e-02
9.200000e-01  -1.018350e-03  1.472045e-03  2.069246e-06  1.062656e-04  -1.636590e-05  1.077719e-04  -2.612532e-02  3.694544e-02  -2.650045e-02  3.656419e-02  -2.741889e-02  3.710038e-02  3.763691e-02  -1.929213e-02  3.799532e-02  -2.082694e-02  3.882892e-02  -2.115725e-02
9.350000e-01  -1.019583e-03  1.696534e-03  -3.723564e-05  2.042675e-04  -5.184029e-05  1.973611e-04  -2.224604e-02  3.536853e-02  -2.266417e-02  3.485375e-02  -2.342866e-02  3.519195e-02  3.660482e-02  -1.578856e-02  3.701000e-02  -1.738771e-02  3.784456e-02  -1.778723e-02
9.500000e-01  -8.118987e-04  1.851745e-03  1.174309e-04  1.899691e-04  1.185692e-04  1.617991e-04  -1.642835e-02  3.368291e-02  -1.693081e-02  3.312394e-02  -1.759868e-02  3.324986e-02  3.444018e-02  -1.019800e-02  3.497986e-02  -1.188692e-02  3.585209e-02  -1.229154e-02
9.650000e-01  -5.806212e-04  2.027176e-03  1.485516e-04  2.258161e-04  1.461985e-04  1.875236e-04  -1.141128e-02  3.347443e-02  -1.204812e-02  3.290755e-02  -1.263742e-02  3.288446e-02  3.351072e-02  -5.686222e-03  3.421250e-02  -7.246771e-03  3.507020e-02  -7.585724e-03
9.800000e-01  -3.680477e-04  2.114197e-03  2.033261e-04  1.554144e-04  2.034270e-04  9.861161e-05  -7.374721e-03  3.135669e-02  -7.917730e-03  3.075177e-02  -8.429654e-03  3.060181e-02  3.275777e-02  4.682827e-04  3.348259e-02  -1.040557e-03  3.430882e-02  -1.335182e-03
9.950000e-01  -1.259220e-04  2.156056e-03  2.480510e-04  1.212290e-04  2.461594e-04  5.108692e-05  -1.914255e-03  2.822690e-02  -2.360144e-03  2.750240e-02  -2.827697e-03  2.722207e-02  2.935383e-02  6.835291e-03  3.029470e-02  5.279265e-03  3.108350e-02  5.035454e-03
1.010000e+00  6.329348e-05  2.230802e-03  2.259622e-04  1.531068e-04  2.217386e-04  7.070148e-05  4.435514e-03  2.647616e-02  4.129266e-03  2.561145e-02  3.777576e-03  2.518513e-02  2.523341e-02  1.173123e-02  2.637221e-02  1.019946e-02  2.709301e-02  1.009247e-02
1.025000e+00  3.756942e-04  2.226651e-03  3.461209e-04  1.229316e-04  3.523707e-04  2.792744e-05  1.186020e-02  2.527321e-02  1.162711e-02  2.433022e-02  1.134742e-02  2.381589e-02  2.245167e-02  1.457117e-02  2.362780e-02  1.318753e-02  2.427816e-02  1.319311e-02
