#  tau(fm)  <T>(GeV)  std(T)(GeV)  <mu_B>(GeV)  std(mu_B)(GeV)  V4 (fm^4)
4.800000e-01  6.945864e-04  2.386692e-10  0.000000e+00  0.000000e+00  0.000000e+00
4.950000e-01  1.829677e-01  3.605547e-02  2.643224e-02  6.120504e-02  5.442133e-01
5.100000e-01  2.479966e-01  5.221719e-02  1.081327e-02  3.122659e-02  3.036112e+00
5.250000e-01  2.611632e-01  6.566520e-02  5.123979e-03  1.960412e-02  8.914471e+00
5.400000e-01  2.504784e-01  6.173375e-02  1.939159e-03  1.347340e-02  2.918742e+01
5.550000e-01  2.637676e-01  5.968084e-02  1.371816e-02  6.741405e-02  4.739505e+01
5.700000e-01  2.758588e-01  5.888647e-02  2.002899e-02  8.825710e-02  6.680765e+01
5.850000e-01  2.883542e-01  5.926365e-02  2.154149e-02  8.931759e-02  8.051425e+01
6.000000e-01  2.976816e-01  5.945573e-02  2.759208e-02  9.599501e-02  9.093432e+01
6.150000e-01  3.041978e-01  5.917256e-02  3.194811e-02  1.033691e-01  9.763517e+01
6.300000e-01  3.087220e-01  5.863955e-02  3.158973e-02  1.025199e-01  1.027717e+02
6.450000e-01  3.117656e-01  5.798075e-02  3.558206e-02  1.060103e-01  1.068417e+02
6.600000e-01  3.137972e-01  5.724429e-02  3.799191e-02  1.123374e-01  1.105895e+02
6.750000e-01  3.151555e-01  5.644030e-02  4.095218e-02  1.140200e-01  1.139660e+02
6.900000e-01  3.159414e-01  5.559755e-02  4.297430e-02  1.187682e-01  1.172122e+02
7.050000e-01  3.163219e-01  5.478409e-02  4.288383e-02  1.178246e-01  1.203574e+02
7.200000e-01  3.164098e-01  5.398630e-02  4.245575e-02  1.171606e-01  1.233873e+02
7.350000e-01  3.162423e-01  5.321442e-02  4.345356e-02  1.169340e-01  1.264307e+02
7.500000e-01  3.158658e-01  5.244349e-02  4.409510e-02  1.181305e-01  1.293835e+02
7.650000e-01  3.153271e-01  5.170484e-02  4.468871e-02  1.181365e-01  1.324073e+02
7.800000e-01  3.146546e-01  5.099436e-02  4.625300e-02  1.201194e-01  1.352894e+02
7.950000e-01  3.138930e-01  5.030119e-02  4.994044e-02  1.229970e-01  1.381695e+02
8.100000e-01  3.130175e-01  4.963856e-02  5.212775e-02  1.262730e-01  1.411656e+02
8.250000e-01  3.120965e-01  4.901027e-02  5.271049e-02  1.257960e-01  1.442233e+02
8.400000e-01  3.111293e-01  4.840755e-02  5.303176e-02  1.260411e-01  1.472149e+02
8.550000e-01  3.101097e-01  4.781514e-02  5.249275e-02  1.248624e-01  1.501988e+02
8.700000e-01  3.090620e-01  4.724304e-02  5.196864e-02  1.236948e-01  1.531882e+02
8.850000e-01  3.079724e-01  4.668739e-02  5.185496e-02  1.229451e-01  1.561176e+02
9.000000e-01  3.068748e-01  4.616472e-02  5.176634e-02  1.223143e-01  1.592401e+02
9.150000e-01  3.057495e-01  4.567907e-02  5.327307e-02  1.226635e-01  1.622518e+02
9.300000e-01  3.045818e-01  4.520562e-02  5.430135e-02  1.242384e-01  1.655706e+02
9.450000e-01  3.034156e-01  4.473570e-02  5.498464e-02  1.238703e-01  1.688875e+02
9.600000e-01  3.022448e-01  4.428051e-02  5.576443e-02  1.242830e-01  1.721156e+02
9.750000e-01  3.010668e-01  4.386536e-02  5.590656e-02  1.234218e-01  1.754401e+02
9.900000e-01  2.998660e-01  4.345819e-02  5.580667e-02  1.227263e-01  1.787841e+02
1.005000e+00  2.986790e-01  4.304180e-02  5.683642e-02  1.225859e-01  1.820577e+02
1.020000e+00  2.974987e-01  4.263566e-02  5.943985e-02  1.242752e-01  1.853150e+02
1.035000e+00  2.963160e-01  4.223785e-02  6.070380e-02  1.258823e-01  1.886892e+02
1.050000e+00  2.951544e-01  4.185809e-02  6.105802e-02  1.251417e-01  1.920224e+02
1.065000e+00  2.939985e-01  4.148655e-02  6.139586e-02  1.251304e-01  1.954161e+02
1.080000e+00  2.928511e-01  4.112156e-02  6.193478e-02  1.248536e-01  1.987049e+02
1.095000e+00  2.917209e-01  4.077054e-02  6.237777e-02  1.247271e-01  2.020711e+02
1.110000e+00  2.906076e-01  4.043413e-02  6.206422e-02  1.236798e-01  2.054449e+02
1.125000e+00  2.895021e-01  4.010440e-02  6.167268e-02  1.226580e-01  2.088167e+02
1.140000e+00  2.884109e-01  3.977507e-02  6.272303e-02  1.221581e-01  2.122972e+02
1.155000e+00  2.873292e-01  3.945324e-02  6.387477e-02  1.230489e-01  2.157396e+02
1.170000e+00  2.862652e-01  3.914223e-02  6.368745e-02  1.220834e-01  2.192465e+02
1.185000e+00  2.852238e-01  3.884088e-02  6.450685e-02  1.211010e-01  2.226364e+02
1.200000e+00  2.841904e-01  3.854667e-02  6.537816e-02  1.212669e-01  2.260800e+02
1.215000e+00  2.831742e-01  3.826597e-02  6.510002e-02  1.202607e-01  2.295690e+02
1.230000e+00  2.821732e-01  3.799607e-02  6.508332e-02  1.192655e-01  2.331244e+02
1.245000e+00  2.811769e-01  3.772481e-02  6.611777e-02  1.193896e-01  2.365858e+02
1.260000e+00  2.802032e-01  3.746101e-02  6.704589e-02  1.206917e-01  2.401340e+02
1.275000e+00  2.792428e-01  3.720450e-02  6.728736e-02  1.201100e-01  2.436054e+02
1.290000e+00  2.782762e-01  3.695188e-02  6.789125e-02  1.199857e-01  2.471752e+02
1.305000e+00  2.773244e-01  3.670813e-02  6.796919e-02  1.196997e-01  2.507189e+02
1.320000e+00  2.763897e-01  3.646287e-02  6.759339e-02  1.187686e-01  2.543102e+02
1.335000e+00  2.754703e-01  3.622751e-02  6.740949e-02  1.179545e-01  2.578416e+02
1.350000e+00  2.745655e-01  3.600509e-02  6.735232e-02  1.172864e-01  2.613323e+02
1.365000e+00  2.736808e-01  3.578109e-02  6.714182e-02  1.164085e-01  2.649475e+02
1.380000e+00  2.728092e-01  3.556246e-02  6.729206e-02  1.155672e-01  2.686232e+02
1.395000e+00  2.719567e-01  3.535169e-02  6.779708e-02  1.151151e-01  2.721338e+02
1.410000e+00  2.711183e-01  3.514255e-02  6.826053e-02  1.143889e-01  2.756800e+02
1.425000e+00  2.702751e-01  3.492903e-02  6.894700e-02  1.137447e-01  2.792511e+02
1.440000e+00  2.694469e-01  3.472583e-02  6.924146e-02  1.133046e-01  2.828590e+02
1.455000e+00  2.686314e-01  3.452619e-02  6.897744e-02  1.124284e-01  2.865164e+02
1.470000e+00  2.678147e-01  3.433109e-02  6.864985e-02  1.115952e-01  2.901645e+02
1.485000e+00  2.670099e-01  3.414048e-02  6.851690e-02  1.108210e-01  2.938752e+02
1.500000e+00  2.662304e-01  3.395465e-02  6.883736e-02  1.102727e-01  2.975033e+02
1.515000e+00  2.654564e-01  3.377500e-02  6.900891e-02  1.099206e-01  3.010459e+02
1.530000e+00  2.646843e-01  3.359750e-02  6.908840e-02  1.095111e-01  3.048987e+02
1.545000e+00  2.639320e-01  3.342171e-02  6.910599e-02  1.092027e-01  3.084415e+02
1.560000e+00  2.631952e-01  3.325248e-02  6.918009e-02  1.083933e-01  3.120714e+02
1.575000e+00  2.624646e-01  3.308654e-02  6.948657e-02  1.080370e-01  3.157005e+02
1.590000e+00  2.617424e-01  3.292125e-02  6.936999e-02  1.074889e-01  3.193417e+02
1.605000e+00  2.610292e-01  3.276170e-02  6.915583e-02  1.067134e-01  3.232693e+02
1.620000e+00  2.603247e-01  3.260864e-02  6.904282e-02  1.059927e-01  3.269897e+02
1.635000e+00  2.596301e-01  3.245919e-02  6.882393e-02  1.052993e-01  3.307098e+02
