#  tau(fm)  epsilon_p(ideal)(cos)  epsilon_p(ideal)(sin)  epsilon_p(shear)(cos)  epsilon_p(shear)(sin)  epsilon_p(full)(cos)  epsilon_p(full)(sin)  epsilon_2p(ideal)(cos)  epsilon_2p(ideal)(sin)  epsilon_2p(shear)(cos)  epsilon_2p(shear)(sin)  epsilon_2p(full)(cos)  epsilon_2p(full)(sin)  epsilon_3p(ideal)(cos)  epsilon_3p(ideal)(sin)  epsilon_3p(shear)(cos)  epsilon_3p(shear)(sin)  epsilon_3p(full)(cos)  epsilon_3p(full)(sin)
4.800000e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
4.950000e-01  -1.078044e-01  -2.183983e-01  -1.078044e-01  -2.183983e-01  -1.078044e-01  -2.183983e-01  -1.404484e-01  -1.832572e-01  -1.404484e-01  -1.832572e-01  -1.404484e-01  -1.832572e-01  -3.056200e-01  2.579878e-01  -3.056200e-01  2.579878e-01  -3.056200e-01  2.579878e-01
5.100000e-01  -1.942621e-04  -2.044184e-04  -1.906984e-04  -1.925218e-04  -1.906984e-04  -1.925218e-04  -4.907512e-02  -4.164151e-02  -4.906990e-02  -4.162354e-02  -4.906990e-02  -4.162353e-02  9.712131e-03  -3.022334e-03  9.723003e-03  -3.035231e-03  9.723009e-03  -3.035238e-03
5.250000e-01  -1.492144e-04  -1.116871e-04  -1.429397e-04  -7.781419e-05  -1.429757e-04  -7.761570e-05  -6.203592e-03  -1.823686e-02  -6.596103e-03  -1.853878e-02  -6.422897e-03  -1.841250e-02  2.291911e-04  -2.731286e-02  -2.798819e-04  -2.757945e-02  -2.827886e-04  -2.759552e-02
5.400000e-01  -2.448794e-04  -5.070201e-05  -2.120195e-04  -1.787949e-05  -2.127131e-04  -1.757195e-05  -3.735984e-02  -6.913818e-03  -3.767424e-02  -6.781574e-03  -3.757679e-02  -6.695851e-03  6.592266e-03  -3.965016e-02  6.392578e-03  -3.999922e-02  6.395224e-03  -3.995817e-02
5.550000e-01  -3.025271e-04  -2.043284e-05  -1.765266e-04  4.489616e-06  -1.771509e-04  5.056436e-06  -4.458034e-02  -6.763795e-03  -4.492601e-02  -6.191023e-03  -4.489251e-02  -6.075425e-03  1.097044e-02  -2.691567e-02  1.087638e-02  -2.713003e-02  1.091605e-02  -2.713133e-02
5.700000e-01  -2.431470e-04  -7.199180e-05  -6.764581e-05  -4.879522e-05  -6.740844e-05  -4.904081e-05  -3.129650e-02  -3.505213e-02  -3.167432e-02  -3.444760e-02  -3.164899e-02  -3.443224e-02  -1.462093e-02  -2.213219e-02  -1.465353e-02  -2.257234e-02  -1.467551e-02  -2.252827e-02
5.850000e-01  -1.789005e-04  -1.424246e-04  -2.296937e-05  -6.745107e-05  -2.270619e-05  -6.786773e-05  -1.412509e-02  -5.237430e-02  -1.453776e-02  -5.174897e-02  -1.455051e-02  -5.179047e-02  -2.383932e-02  -2.159173e-02  -2.438416e-02  -2.173327e-02  -2.441609e-02  -2.170768e-02
6.000000e-01  -1.257711e-04  -2.363918e-04  -1.162224e-05  -8.798752e-05  -1.180520e-05  -8.811667e-05  -7.002502e-03  -5.612702e-02  -7.363033e-03  -5.548869e-02  -7.421718e-03  -5.551966e-02  -2.352557e-02  -2.408135e-02  -2.407946e-02  -2.421589e-02  -2.409622e-02  -2.418654e-02
6.150000e-01  -8.376944e-05  -3.736693e-04  -2.821269e-05  -9.976772e-05  -2.930217e-05  -9.941182e-05  -3.195281e-03  -6.397097e-02  -3.480258e-03  -6.333129e-02  -3.583860e-03  -6.337011e-02  -2.433016e-02  -2.373783e-02  -2.481457e-02  -2.369143e-02  -2.485149e-02  -2.365190e-02
6.300000e-01  -3.084986e-05  -5.305782e-04  -5.038328e-05  -8.598273e-05  -5.281762e-05  -8.463969e-05  8.513497e-04  -6.776559e-02  5.055959e-04  -6.708194e-02  3.644609e-04  -6.712423e-02  -2.882781e-02  -2.509460e-02  -2.934300e-02  -2.487678e-02  -2.940365e-02  -2.483228e-02
6.450000e-01  3.752517e-05  -7.189491e-04  -7.952861e-05  -6.819682e-05  -8.391540e-05  -6.548002e-05  4.301119e-03  -6.965671e-02  3.896468e-03  -6.899054e-02  3.722671e-03  -6.904127e-02  -3.255063e-02  -2.537349e-02  -3.297722e-02  -2.515379e-02  -3.306152e-02  -2.510258e-02
6.600000e-01  1.257821e-04  -9.377559e-04  -1.129825e-04  -5.049497e-05  -1.200816e-04  -4.594873e-05  7.177078e-03  -7.084629e-02  6.694619e-03  -7.018772e-02  6.487621e-03  -7.024860e-02  -3.539565e-02  -2.501376e-02  -3.568854e-02  -2.480742e-02  -3.579557e-02  -2.474709e-02
6.750000e-01  2.363943e-04  -1.184123e-03  -1.490554e-04  -3.532029e-05  -1.597437e-04  -2.843688e-05  9.568502e-03  -7.149204e-02  8.991372e-03  -7.085097e-02  8.750956e-03  -7.092167e-02  -3.735192e-02  -2.515011e-02  -3.756207e-02  -2.492609e-02  -3.769209e-02  -2.485554e-02
6.900000e-01  3.683360e-04  -1.454346e-03  -1.862779e-04  -2.073716e-05  -2.015445e-04  -1.088487e-05  1.146404e-02  -7.180845e-02  1.077523e-02  -7.117842e-02  1.049981e-02  -7.125856e-02  -3.889492e-02  -2.596137e-02  -3.904910e-02  -2.570721e-02  -3.920351e-02  -2.562719e-02
7.050000e-01  5.229201e-04  -1.738880e-03  -2.240680e-04  -3.085594e-06  -2.449799e-04  1.049529e-05  1.309019e-02  -7.161392e-02  1.229786e-02  -7.097872e-02  1.198593e-02  -7.106656e-02  -4.015205e-02  -2.637631e-02  -4.026537e-02  -2.608048e-02  -4.044478e-02  -2.598939e-02
7.200000e-01  7.007226e-04  -2.032157e-03  -2.578758e-04  1.704717e-05  -2.855131e-04  3.526079e-05  1.459401e-02  -7.096940e-02  1.369990e-02  -7.032393e-02  1.334925e-02  -7.041649e-02  -4.106947e-02  -2.647725e-02  -4.112258e-02  -2.615432e-02  -4.132717e-02  -2.605006e-02
7.350000e-01  9.010169e-04  -2.333991e-03  -2.876525e-04  3.546180e-05  -3.229892e-04  5.920113e-05  1.606739e-02  -7.022766e-02  1.505817e-02  -6.957146e-02  1.466856e-02  -6.966717e-02  -4.180193e-02  -2.627972e-02  -4.178005e-02  -2.594645e-02  -4.201089e-02  -2.582593e-02
7.500000e-01  1.116953e-03  -2.642382e-03  -3.145043e-04  5.049199e-05  -3.582838e-04  8.056041e-05  1.735572e-02  -6.956710e-02  1.623196e-02  -6.887942e-02  1.580503e-02  -6.897812e-02  -4.246207e-02  -2.588153e-02  -4.241182e-02  -2.552699e-02  -4.267141e-02  -2.538564e-02
7.650000e-01  1.349453e-03  -2.948151e-03  -3.356803e-04  6.530123e-05  -3.888354e-04  1.025178e-04  1.850341e-02  -6.877737e-02  1.726864e-02  -6.805002e-02  1.680285e-02  -6.815097e-02  -4.286775e-02  -2.534117e-02  -4.281595e-02  -2.492220e-02  -4.310682e-02  -2.475609e-02
7.800000e-01  1.603441e-03  -3.251628e-03  -3.442974e-04  7.434948e-05  -4.077438e-04  1.195780e-04  1.964393e-02  -6.787506e-02  1.830311e-02  -6.709935e-02  1.779673e-02  -6.720028e-02  -4.323133e-02  -2.451258e-02  -4.316700e-02  -2.399896e-02  -4.349187e-02  -2.380530e-02
7.950000e-01  1.872151e-03  -3.550428e-03  -3.468497e-04  7.916069e-05  -4.213271e-04  1.332517e-04  2.078137e-02  -6.697426e-02  1.933997e-02  -6.615834e-02  1.879396e-02  -6.625748e-02  -4.341060e-02  -2.347572e-02  -4.333065e-02  -2.287457e-02  -4.369266e-02  -2.265008e-02
8.100000e-01  2.149055e-03  -3.831517e-03  -3.436707e-04  8.877845e-05  -4.298689e-04  1.524243e-04  2.185667e-02  -6.594262e-02  2.030482e-02  -6.507609e-02  1.971833e-02  -6.517264e-02  -4.331260e-02  -2.246255e-02  -4.327759e-02  -2.172823e-02  -4.367733e-02  -2.146978e-02
8.250000e-01  2.443820e-03  -4.084737e-03  -3.261112e-04  1.073322e-04  -4.243082e-04  1.812413e-04  2.296447e-02  -6.464093e-02  2.130825e-02  -6.371278e-02  2.068116e-02  -6.380496e-02  -4.299892e-02  -2.151467e-02  -4.299068e-02  -2.061564e-02  -4.342893e-02  -2.032106e-02
8.400000e-01  2.743926e-03  -4.315095e-03  -3.032699e-04  1.255347e-04  -4.140153e-04  2.101404e-04  2.394923e-02  -6.312396e-02  2.218325e-02  -6.211930e-02  2.151425e-02  -6.220591e-02  -4.241446e-02  -2.052089e-02  -4.241732e-02  -1.946689e-02  -4.289840e-02  -1.913381e-02
8.550000e-01  3.057698e-03  -4.528389e-03  -2.633064e-04  1.391325e-04  -3.869087e-04  2.349307e-04  2.502067e-02  -6.147901e-02  2.314621e-02  -6.038279e-02  2.243475e-02  -6.046081e-02  -4.172755e-02  -1.935511e-02  -4.174501e-02  -1.812711e-02  -4.227257e-02  -1.775061e-02
8.700000e-01  3.402381e-03  -4.721228e-03  -1.936958e-04  1.492130e-04  -3.305065e-04  2.567952e-04  2.635008e-02  -5.972734e-02  2.437985e-02  -5.853236e-02  2.362507e-02  -5.859762e-02  -4.105565e-02  -1.815654e-02  -4.109215e-02  -1.675580e-02  -4.166717e-02  -1.633350e-02
8.850000e-01  3.759643e-03  -4.885645e-03  -1.140069e-04  1.614347e-04  -2.650211e-04  2.812523e-04  2.769051e-02  -5.776824e-02  2.563085e-02  -5.646487e-02  2.482901e-02  -5.651359e-02  -4.029583e-02  -1.707550e-02  -4.037287e-02  -1.552034e-02  -4.099417e-02  -1.505201e-02
9.000000e-01  4.124797e-03  -5.028835e-03  -1.995388e-05  1.651490e-04  -1.858854e-04  2.973312e-04  2.908273e-02  -5.568070e-02  2.694584e-02  -5.426003e-02  2.609513e-02  -5.428842e-02  -3.925389e-02  -1.591434e-02  -3.939562e-02  -1.421608e-02  -4.005984e-02  -1.369927e-02
9.150000e-01  4.497354e-03  -5.163899e-03  8.501341e-05  1.530402e-04  -9.663824e-05  2.980326e-04  3.047633e-02  -5.361760e-02  2.827892e-02  -5.206650e-02  2.737751e-02  -5.206792e-02  -3.809229e-02  -1.459300e-02  -3.831905e-02  -1.272722e-02  -3.902461e-02  -1.215812e-02
9.300000e-01  4.874606e-03  -5.278134e-03  2.021431e-04  1.373410e-04  4.492333e-06  2.955203e-04  3.183156e-02  -5.144754e-02  2.958462e-02  -4.977200e-02  2.863089e-02  -4.974114e-02  -3.688749e-02  -1.340079e-02  -3.720401e-02  -1.137448e-02  -3.795023e-02  -1.075352e-02
9.450000e-01  5.265082e-03  -5.373833e-03  3.351408e-04  1.130418e-04  1.219161e-04  2.842764e-04  3.322460e-02  -4.919452e-02  3.093709e-02  -4.741190e-02  2.993200e-02  -4.734568e-02  -3.552138e-02  -1.239146e-02  -3.591056e-02  -1.024609e-02  -3.669669e-02  -9.573271e-03
